Id2,Geography,Total; Estimate; Population 18 to 24 years
1,Alabama,484011
2,Alaska,84814
4,Arizona,673187
5,Arkansas,291815
6,California,3996629
8,Colorado,524258
9,Connecticut,349983
10,Delaware,91429
11,District of Columbia,80652
12,Florida,1798078
13,Georgia,1029514
15,Hawaii,136621
16,Idaho,158006
17,Illinois,1256770
18,Indiana,670265
19,Iowa,318801
20,Kansas,300013
21,Kentucky,430973
22,Louisiana,474204
23,Maine,112710
24,Maryland,562419
25,Massachusetts,700372
26,Michigan,1005716
27,Minnesota,501482
28,Mississippi,310816
29,Missouri,594320
30,Montana,103107
31,Nebraska,188925
32,Nevada,256970
33,New Hampshire,128223
34,New Jersey,798047
35,New Mexico,211672
36,New York,1981342
37,North Carolina,991459
38,North Dakota,93106
39,Ohio,1101063
40,Oklahoma,395873
41,Oregon,364567
42,Pennsylvania,1228166
44,Rhode Island,116747
45,South Carolina,487869
46,South Dakota,86794
47,Tennessee,631942
48,Texas,2753234
49,Utah,332619
50,Vermont,66473
51,Virginia,835457
53,Washington,674393
54,West Virginia,170776
55,Wisconsin,559900
56,Wyoming,57427
72,Puerto Rico,374975
