Id2,States,25_plus,percent,25_34,percent,35_44,percent,45_64,percent,65_plus,percent
1,Alabama,3256766,1.506880923,615948,1.407765658,613234,1.488084398,1281072,1.519096441,746512,1.59402445
2,Alaska,465149,0.215220914,113774,0.260033525,93083,0.225876843,188393,0.223396605,69899,0.149255089
4,Arizona,4436226,2.052608118,895519,2.046732669,839439,2.036997425,1630511,1.933461552,1070757,2.286383658
5,Arkansas,1968414,0.910770226,378309,0.864635356,374567,0.908930863,750526,0.889974471,465012,0.992938489
6,California,25654292,11.8700463,5722924,13.07989614,5184418,12.5805998,9756858,11.56969184,4990092,10.65532591
8,Colorado,3584463,1.658503839,798685,1.825415968,724786,1.758778441,1381420,1.638089199,679572,1.451087703
9,Connecticut,2471818,1.143691438,438421,1.002022943,441421,1.071159954,1036448,1.229021061,555528,1.186216986
10,Delaware,640343,0.296281849,121964,0.27875199,111621,0.27086148,252999,0.300006464,153759,0.328321052
11,District of Columbia,463211,0.214324216,150211,0.343311265,92877,0.22537696,145658,0.1727214,74465,0.159004853
12,Florida,14041196,6.496754877,2512629,5.742680903,2432609,5.903011736,5305004,6.290678977,3790954,8.094810751
13,Georgia,6576408,3.042854095,1375152,3.142946742,1384956,3.360758561,2567430,3.044461027,1248870,2.666707721
15,Hawaii,974586,0.450933549,210810,0.481811903,176248,0.427686493,359467,0.426256323,228061,0.486977852
16,Idaho,1045193,0.483602873,211307,0.48294781,202500,0.491390058,396407,0.470059812,234979,0.501749833
17,Illinois,8639076,3.997234932,1777446,4.062400458,1681898,4.081323235,3391878,4.022092279,1787854,3.817598362
18,Indiana,4342916,2.009434289,843079,1.926879644,832070,2.01911568,1726273,2.047016226,941494,2.010368829
19,Iowa,2062734,0.954411374,390194,0.891798842,365753,0.887542655,816159,0.967802147,490628,1.047636244
20,Kansas,1881521,0.870565494,387054,0.884622288,349971,0.849245777,726963,0.862033443,417533,0.891556747
21,Kentucky,2967181,1.372892141,562906,1.286536746,559455,1.357583332,1191798,1.413235244,653022,1.394395581
22,Louisiana,3060688,1.41615712,660444,1.509462458,578342,1.403414858,1190732,1.41197118,631170,1.347735082
23,Maine,959407,0.443910341,152283,0.348046877,156180,0.378989132,408380,0.484257407,242564,0.517946057
24,Maryland,4062813,1.879832756,827460,1.891182001,771141,1.871264298,1642041,1.947133838,822171,1.755578846
