Id2,Geography,Total; Estimate; Population 25 years and over,%Educated
1,Alabama,3256766,1.506880923
2,Alaska,465149,0.215220914
4,Arizona,4436226,2.052608118
5,Arkansas,1968414,0.910770226
6,California,25654292,11.8700463
8,Colorado,3584463,1.658503839
9,Connecticut,2471818,1.143691438
10,Delaware,640343,0.296281849
11,District of Columbia,463211,0.214324216
12,Florida,14041196,6.496754877
13,Georgia,6576408,3.042854095
15,Hawaii,974586,0.450933549
16,Idaho,1045193,0.483602873
17,Illinois,8639076,3.997234932
18,Indiana,4342916,2.009434289
19,Iowa,2062734,0.954411374
20,Kansas,1881521,0.870565494
21,Kentucky,2967181,1.372892141
22,Louisiana,3060688,1.41615712
23,Maine,959407,0.443910341
24,Maryland,4062813,1.879832756
25,Massachusetts,4654351,2.153532901
26,Michigan,6680525,3.091028241
27,Minnesota,3672583,1.699276295
28,Mississippi,1950710,0.902578719
29,Missouri,4076767,1.886289166
30,Montana,695850,0.321964516
31,Nebraska,1224701,0.566659862
32,Nevada,1919598,0.888183433
33,New Hampshire,931304,0.430907296
34,New Jersey,6127931,2.835347189
35,New Mexico,1373822,0.635657018
36,New York,13539612,6.264675765
37,North Carolina,6661937,3.082427714
38,North Dakota,478850,0.221560263
39,Ohio,7857460,3.635587138
40,Oklahoma,2529885,1.170558599
41,Oregon,2746957,1.270996166
42,Pennsylvania,8858865,4.098929635
44,Rhode Island,725871,0.335855005
45,South Carolina,3260929,1.508807112
46,South Dakota,555488,0.257020084
47,Tennessee,4425073,2.04744771
48,Texas,17087888,7.906436154
49,Utah,1704734,0.78876749
50,Vermont,438279,0.202788369
51,Virginia,5623295,2.60185594
53,Washington,4784484,2.213744453
54,West Virginia,1296350,0.599811311
55,Wisconsin,3898162,1.803649987
56,Wyoming,388962,0.179969767
72,Puerto Rico,2400677,1.110775037
,,216126301,
