Poverty,Heart,
4727549,5.75,-0.049241685
717723,2.85,
6573369,4.2,
2882856,6.45,
38060228,3.6,
5237149,3.05,
3485629,3.7,
909611,4.9,
624327,2.5,
19470210,5.35,
9823859,4.3,
1379804,3.25,
1603083,3.55,
12571848,3.65,
6391460,4.8,
3004857,4.25,
2821431,4.2,
4275359,6.4,
4518525,5.7,
1294009,5.45,
5835377,3.2,
6509672,4.2,
9686787,5.3,
5332552,3.65,
2895470,4.8,
5878658,5.1,
997952,3.9,
1828121,3.85,
2800768,4.75,
1287504,4,
8762159,4.3,
2045525,4.05,
19228524,4,
9691794,5.05,
712548,4.35,
11276403,5.1,
3759517,5.45,
3893475,4.3,
12371337,4.95,
1015655,4.25,
4691589,4.7,
824373,4.65,
6386663,5.65,
26340247,3.7,
2897762,2.7,
601819,3.95,
8080300,4.1,
6927889,3.7,
1792949,7.6,
5603486,3.7,
570149,4.3,
